"","First.Launched","Last.Used","Location.ID","Location.Name","Neighbourhood","City","Region","Latitude","Longitude","X","Notes."
"1","6/8/17 10:30","",553,"Richmond Hospital","Richmond","Richmond","Lower Mainland",49.16812,-123.147438,NA,"Blanks under ""First Launched"" were locations in use on October 1st, 2001, when our data begin."
"2","6/6/17 13:45","",588,"Gorge Washington","Burnside","Victoria","Greater Victoria",48.442409,-123.381756,NA,"Blanks under ""Last Used"" are locations in use as of June 8th, 2017."
"3","6/5/17 14:15","",581,"Acadia Commons Block","East Campus","UBC","Lower Mainland",49.262815,-123.236844,NA,""
"4","6/3/17 13:45","",587,"Bayshore & Cardero","Coal Harbour","Vancouver","Lower Mainland",49.291348,-123.129413,NA,""
"5","6/1/17 14:15","",584,"Eveleigh","Coal Harbour","Vancouver","Lower Mainland",49.286898,-123.120532,NA,""
"6","6/1/17 13:30","",585,"Sidney Town Hall","Sidney","Sidney","Greater Victoria",48.650693,-123.398998,NA,""
"7","6/1/17 13:30","",586,"Sidney Fire Hall","Sidney","Sidney","Greater Victoria",48.649414,-123.39778,NA,""
"8","6/1/17 12:00","",549,"Red Alder Trail","Killarney","Vancouver","Lower Mainland",49.209342,-123.02859,NA,""
"9","5/29/17 12:30","",579,"1067 Seymour","Downtown Vancouver","Vancouver","Lower Mainland",49.278009,-123.123213,NA,""
"10","5/24/17 9:00","",578,"Oak Bay Rec Centre","Oak Bay","Oak Bay","Greater Victoria",48.431148,-123.321391,NA,""
"11","5/19/17 14:30","",577,"Royal Oak Safeway","Royal Oak","Burnaby","Lower Mainland",49.225004,-122.988055,NA,""
"12","5/18/17 8:45","",575,"Kamloops & Broadway","Hastings-Sunrise","Vancouver","Lower Mainland",49.262222,-123.054645,NA,""
"13","5/17/17 17:15","",576,"Expo Boulevard","Yaletown","Vancouver","Lower Mainland",49.274301,-123.116827,NA,""
"14","5/17/17 12:15","",573,"West Parkade","Main Campus","UBC","Lower Mainland",49.262751,-123.255363,NA,""
"15","5/17/17 12:15","",574,"Rose Garden Parkade","Main Campus","UBC","Lower Mainland",49.269443,-123.256546,NA,""
"16","5/15/17 17:45","",507,"Telus Garden Residences","Downtown Vancouver","Vancouver","Lower Mainland",49.280619,-123.11756,NA,""
"17","5/12/17 17:15","",557,"W 15th & Granville","Fairview","Vancouver","Lower Mainland",49.257937,-123.137796,NA,""
"18","5/12/17 16:00","",568,"Kaslo & Charles","Hastings-Sunrise","Vancouver","Lower Mainland",49.273137,-123.046925,NA,""
"19","5/5/17 15:00","5/26/17 15:00",572,"Burnside & Finlayson","Burnside","Victoria","Greater Victoria",48.44385,-123.3724,NA,""
"20","5/1/17 14:45","",559,"Grindstone Cafe","Downtown Victoria","Victoria","Greater Victoria",48.43048,-123.369497,NA,""
"21","5/1/17 0:00","",560,"Departure Bay Ferry","Newcastle","Nanaimo","Nanaimo",49.188597,-123.951027,NA,""
"22","5/1/17 0:00","",561,"Port Place Mall","Nanaimo City Centre","Nanaimo","Nanaimo",49.164261,-123.934194,NA,""
"23","5/1/17 0:00","",562,"Prideaux Exchange","Nanaimo City Centre","Nanaimo","Nanaimo",49.163592,-123.942808,NA,""
"24","5/1/17 0:00","",563,"Pacific Gardens Cohousing","Harewood","Nanaimo","Nanaimo",49.146972,-123.941292,NA,""
"25","4/24/17 15:00","",547,"Mount Saint Joseph - West Entrance","Mount Pleasant","Vancouver","Lower Mainland",49.25756,-123.096406,NA,""
"26","4/19/17 9:00","",558,"Bay Centre","Downtown Victoria","Victoria","Greater Victoria",48.4251,-123.366514,NA,""
"27","4/13/17 21:30","",551,"Oceanside Apartments","West End","Vancouver","Lower Mainland",49.28879,-123.141133,NA,""
"28","4/13/17 17:15","",566,"W 10th & Discovery","West Point Grey","Vancouver","Lower Mainland",49.263796,-123.202765,NA,""
"29","4/13/17 17:00","",550,"Dieppe","Renfrew-Collingwood","Vancouver","Lower Mainland",49.256374,-123.026516,NA,""
"30","4/10/17 17:00","",565,"Sunset Park","Sunset","Vancouver","Lower Mainland",49.223638,-123.096727,NA,""
"31","4/7/17 18:45","",564,"Slocan & Vanness","Renfrew-Collingwood","Vancouver","Lower Mainland",49.245664,-123.049687,NA,""
"32","3/24/17 18:00","",554,"National & Quebec","False Creek","Vancouver","Lower Mainland",49.274908,-123.101618,NA,""
"33","3/24/17 17:45","",555,"Callister Park","Hastings-Sunrise","Vancouver","Lower Mainland",49.28593,-123.044193,NA,""
"34","3/22/17 16:45","",556,"E-Comm","Hastings-Sunrise","Vancouver","Lower Mainland",49.280078,-123.033877,NA,""
"35","3/10/17 21:15","",539,"Wall Centre Central Park","Renfrew-Collingwood","Vancouver","Lower Mainland",49.233522,-123.023939,NA,""
"36","2/24/17 15:15","",536,"Vancity Victoria Drive","Kensington-Cedar Cottage","Vancouver","Lower Mainland",49.234043,-123.064906,NA,""
"37","1/28/17 15:00","",537,"Irving Park","James Bay","Victoria","Greater Victoria",48.417131,-123.373362,NA,""
"38","1/17/17 17:00","",538,"Haultain & Shelbourne","Jubilee","Victoria","Greater Victoria",48.436026,-123.333065,NA,""
