Hash,Start,End,Latitude,Longitude,,,Notes:,,
c5edaa9783,6/1/08 0:00,3/1/17 0:00,49.2093272979954,-122.928925555501,,,"This spreadsheet includes everybody who has been a member since November 1st, 2014, whether or not they are still a member today.",,
6af48c830c,3/1/15 0:00,,49.2791113177717,-123.063680106584,,,"If the same person has had multiple accounts, or has opened and closed the same account multiple times:",,
5d29f613f4,8/1/09 0:00,4/1/15 0:00,49.2655119381965,-123.155391287765,,,,"If this person has an open account as of June 2017, these dates are for the *longest continuously open account which is still open today*",
0d5309f648,9/1/16 0:00,,49.2402135133797,-123.061910945564,,,,"If this person does not have an open account as of June 2017, these dates are for the *most recently closed account*",
1da7e8d76a,2/1/06 0:00,,49.2737247039774,-123.149359155276,,,All latitudes and longitudes are randomized within 400 metres of the home address on file.,,
9ec89a5444,5/1/09 0:00,4/1/15 0:00,49.2542303662677,-122.907519662775,,,,The randomization knows it's on a sphere: you don't have to do any weird corrections based on lines of longitude being shorter near the poles.,
febbf71ee1,3/1/17 0:00,,49.2647707604441,-123.149326123319,,,,The randomization knows it's in a circle: it is unbiased towards the centre of the circle.,
13e92af4ad,5/1/06 0:00,,49.2356013840163,-123.181470064852,,,,The randomization is consistent: the same hash and home address will always produce the same latitude and longitude.,
9ad5154916,6/1/06 0:00,,49.281434678787,-122.911546968121,,,All dates are truncated to the 1st of the month.,,
b9aafc2003,6/1/06 0:00,,49.2559842298539,-123.12270031355,,,,,
9499baeebe,6/1/15 0:00,,49.2912882849059,-123.016166830478,,,,,
4938fe42e3,6/1/06 0:00,,49.2649145180531,-123.126855836559,,,,,
9299e658e0,6/1/10 0:00,,49.2597994784507,-123.130284946539,,,,,
43427ec0ca,6/1/06 0:00,,49.2559865335096,-123.145811388289,,,,,
1db2e3420b,6/1/06 0:00,,49.2479382684727,-123.077943856382,,,,,
6bc67a9534,1/1/14 0:00,,49.2809626102404,-123.1360318338,,,,,
1818038132,7/1/06 0:00,10/1/16 0:00,49.2616664522502,-123.178416353766,,,,,
3addcfc2dc,7/1/06 0:00,10/1/16 0:00,49.2497018147385,-123.057638765385,,,,,
53bc356622,4/1/08 0:00,,49.2591578993238,-123.079746973254,,,,,
623396031a,6/1/15 0:00,,49.2942342859237,-123.136206340339,,,,,
7c99e369bb,8/1/06 0:00,,49.2850669385147,-123.134930854684,,,,,
9d62e9e863,8/1/06 0:00,,49.2819277221066,-123.134302994654,,,,,
3b905ff360,8/1/06 0:00,,,,,,,,
5560a7cd42,8/1/06 0:00,6/1/17 0:00,49.2646240487729,-123.128939736704,,,,,
c7523b8bd6,8/1/06 0:00,,49.242759397082,-123.187488791591,,,,,
71ff718f6d,8/1/06 0:00,,49.272039261804,-123.070406560897,,,,,
52bda402aa,8/1/06 0:00,,49.25198283309,-123.098550359541,,,,,
e82ed425b0,8/1/06 0:00,,49.2638945483459,-123.162904577432,,,,,
d687e92d55,8/1/06 0:00,9/1/15 0:00,49.2584293034847,-123.15697407084,,,,,
a5e043d87e,8/1/06 0:00,,49.2765668792074,-123.117829974043,,,,,
f6c7310cc8,8/1/06 0:00,,49.238768026939,-123.081043817333,,,,,
b6781ea779,8/1/06 0:00,,49.2660319136184,-123.13108939057,,,,,
1e21db4ea1,8/1/06 0:00,,49.2890133473508,-123.140813142409,,,,,
2d3cde3c69,8/1/06 0:00,8/1/16 0:00,49.2702858733014,-123.144758248482,,,,,
f345c99b98,8/1/06 0:00,,49.2808558921472,-123.121527909398,,,,,
fa5ab39094,7/1/13 0:00,,49.2728749418524,-123.144169515368,,,,,
0e219e65d5,8/1/06 0:00,,49.2659884018672,-123.237972394218,,,,,
af1f6fa1d0,8/1/06 0:00,,49.3050088563914,-123.069685528056,,,,,
762e0a194e,8/1/06 0:00,,49.2278478366801,-123.09682553839,,,,,
636db66916,2/1/17 0:00,,49.2732097281396,-123.073579466842,,,,,
575a7ea08f,8/1/06 0:00,,49.2635877788849,-123.069246481451,,,,,
5708f37f74,8/1/06 0:00,4/1/15 0:00,49.2826675174147,-123.135506621334,,,,,
633bbb005b,8/1/06 0:00,10/1/16 0:00,49.163238565758,-123.93995665675,,,,,
4e2f1e643e,8/1/06 0:00,,49.2624730849473,-123.098511201855,,,,,
d12efb03a1,8/1/06 0:00,,49.258055888274,-123.06751622167,,,,,
94183eda8c,7/1/13 0:00,,49.2243719619592,-122.903091540439,,,,,
86a2331d14,8/1/06 0:00,,49.2939414667944,-123.138830793094,,,,,
76a787256c,8/1/06 0:00,,49.317299455703,-123.030856039596,,,,,
1250efdb61,8/1/06 0:00,,49.3183270296448,-123.02646361818,,,,,
122bd127dc,8/1/06 0:00,12/1/15 0:00,49.2774426637124,-123.065229649209,,,,,
d29307c638,8/1/13 0:00,,49.2830890126498,-123.126052312793,,,,,
09c625f6ab,11/1/12 0:00,,49.2649983126943,-123.142903479538,,,,,
3756ed6219,8/1/12 0:00,,49.2624071681057,-123.066740849096,,,,,
d27d6867c6,8/1/06 0:00,,49.1837955143575,-122.844171569796,,,,,
5dc95b2c03,8/1/06 0:00,,49.3172147601167,-123.072734807096,,,,,
49e4c75dca,8/1/06 0:00,,49.2699921910526,-123.15741801068,,,,,
830cd74b77,8/1/06 0:00,,49.2529479279239,-123.117334121496,,,,,
b7c5d782d3,8/1/06 0:00,,49.2151875151893,-123.064242828623,,,,,
c9758fba18,8/1/06 0:00,,49.2904613150718,-123.141178857621,,,,,
772104ca05,8/1/06 0:00,,49.327526194312,-123.072132787312,,,,,
f494570b15,8/1/06 0:00,,49.2722988907984,-123.115485930566,,,,,
4abb52dce3,8/1/15 0:00,,49.2470637148535,-123.088244962738,,,,,
93d4525a67,8/1/06 0:00,,49.2690940109979,-123.154564492477,,,,,
9e954e5d8a,8/1/06 0:00,,49.25977961497,-123.07396926646,,,,,
83da654365,5/1/17 0:00,,49.2641965536112,-123.102316706729,,,,,
68a1e242ad,8/1/06 0:00,,49.2594360582704,-123.091593425934,,,,,
bf7629f38a,8/1/06 0:00,,49.2644061417083,-123.060400343395,,,,,
de23b3ee31,8/1/06 0:00,,49.2609649730296,-123.138721890587,,,,,
41698abe9c,11/1/14 0:00,,49.2651247580788,-123.066262193472,,,,,
967a73bfbf,8/1/06 0:00,,49.2596177129593,-123.128985500497,,,,,
bf6837ede7,8/1/06 0:00,,49.2564977957959,-123.096470482004,,,,,
28a61cb80a,8/1/13 0:00,2/1/17 0:00,49.266389012805,-123.155518134598,,,,,
cca40ad647,8/1/13 0:00,2/1/17 0:00,49.2549439447221,-123.113332643737,,,,,
d97995b3a8,8/1/06 0:00,,49.2627472352876,-123.107845780034,,,,,
d190dd6901,9/1/06 0:00,,49.2912870580018,-123.142940960126,,,,,
d28cc70f4e,9/1/06 0:00,,49.2560764305341,-123.118130528783,,,,,
3b85abd13e,5/1/17 0:00,,49.1630658782079,-123.93909439459,,,,,
eb8056c52f,9/1/06 0:00,,49.2612818706749,-123.249153372806,,,,,
a403aa0c6e,9/1/06 0:00,,48.4736977574822,-123.321192543111,,,,,
230ce560dd,9/1/06 0:00,,49.223522482649,-122.974859699225,,,,,
6e75f9343a,9/1/06 0:00,,49.2608280113509,-123.132309599743,,,,,
1100f3499c,9/1/06 0:00,,49.2661477774332,-123.061190910063,,,,,
149032a63b,9/1/06 0:00,,49.271929316864,-123.05964940972,,,,,
134a5f1d7f,9/1/06 0:00,,49.2771099154372,-123.053694278749,,,,,
7196205e1c,9/1/09 0:00,,49.2630956310829,-123.16828894192,,,,,
4290597295,6/1/16 0:00,,49.1971575983007,-122.925404353862,,,,,
59e841ddc8,9/1/06 0:00,,49.2527125942581,-123.235455395095,,,,,
b0a1df8d85,9/1/06 0:00,,49.256035129223,-123.234280908725,,,,,
2e134e022a,9/1/06 0:00,,49.2819909192162,-123.13972093586,,,,,
a794f45e31,9/1/06 0:00,,49.2593627002316,-123.120465584473,,,,,
de3da91f88,9/1/06 0:00,3/1/15 0:00,49.2581879758492,-123.148352887433,,,,,
e2bc4ff8ac,9/1/06 0:00,,49.2805245152097,-123.091376717626,,,,,
46ff718dd6,9/1/06 0:00,,49.2637418482801,-123.08816958419,,,,,
3fd803c430,9/1/06 0:00,,49.2634287646469,-123.145329366779,,,,,
ac31003440,9/1/06 0:00,,49.2680647077292,-123.081048950938,,,,,
5b2803e859,9/1/06 0:00,,49.2645904520513,-123.082716051243,,,,,
7574741506,9/1/06 0:00,,49.2595366105412,-123.107856425228,,,,,
39c9f4642f,9/1/06 0:00,,49.3054784272121,-123.037654135623,,,,,
7b4bddcfe6,12/1/12 0:00,,48.9889662644502,-123.809504511305,,,,,
9c42d490be,9/1/06 0:00,,49.2915321630281,-123.138364962301,,,,,
a25469c112,9/1/06 0:00,12/1/16 0:00,49.2575229596551,-123.097742611155,,,,,
7707db90a0,9/1/06 0:00,,49.2946832870456,-123.136071421984,,,,,
f6d6f2c50b,9/1/06 0:00,,49.2628290426503,-123.110443449486,,,,,
8c7c1b3e4d,9/1/16 0:00,,49.2831695892437,-123.10545440175,,,,,
87fdbc1177,7/1/08 0:00,,49.2835203870999,-123.075605805003,,,,,
1f4fed0219,9/1/06 0:00,,49.3290510481622,-122.995400652092,,,,,
6a9aab8424,9/1/06 0:00,,49.2563631944472,-123.111956824835,,,,,
3c6e6308f9,9/1/06 0:00,,49.2649745474579,-123.134443483989,,,,,
