Type,Hash,Start,End,Latitude,Longitude,First Launched,Last Used,Location ID,Location Name,Neighbourhood,City,Region,Latitude,Longitude
Member,c5edaa9783,6/1/08 0:00,3/1/17 0:00,49.2093272979954,-122.928925555501,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,6af48c830c,3/1/15 0:00,,49.2791113177717,-123.063680106584,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,5d29f613f4,8/1/09 0:00,4/1/15 0:00,49.2655119381965,-123.155391287765,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,0d5309f648,9/1/16 0:00,,49.2402135133797,-123.061910945564,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,1da7e8d76a,2/1/06 0:00,,49.2737247039774,-123.149359155276,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,9ec89a5444,5/1/09 0:00,4/1/15 0:00,49.2542303662677,-122.907519662775,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,febbf71ee1,3/1/17 0:00,,49.2647707604441,-123.149326123319,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,13e92af4ad,5/1/06 0:00,,49.2356013840163,-123.181470064852,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,9ad5154916,6/1/06 0:00,,49.281434678787,-122.911546968121,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,b9aafc2003,6/1/06 0:00,,49.2559842298539,-123.12270031355,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,9499baeebe,6/1/15 0:00,,49.2912882849059,-123.016166830478,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,4938fe42e3,6/1/06 0:00,,49.2649145180531,-123.126855836559,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,9299e658e0,6/1/10 0:00,,49.2597994784507,-123.130284946539,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,43427ec0ca,6/1/06 0:00,,49.2559865335096,-123.145811388289,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,1db2e3420b,6/1/06 0:00,,49.2479382684727,-123.077943856382,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,6bc67a9534,1/1/14 0:00,,49.2809626102404,-123.1360318338,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,1818038132,7/1/06 0:00,10/1/16 0:00,49.2616664522502,-123.178416353766,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,3addcfc2dc,7/1/06 0:00,10/1/16 0:00,49.2497018147385,-123.057638765385,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,53bc356622,4/1/08 0:00,,49.2591578993238,-123.079746973254,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,623396031a,6/1/15 0:00,,49.2942342859237,-123.136206340339,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,7c99e369bb,8/1/06 0:00,,49.2850669385147,-123.134930854684,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,9d62e9e863,8/1/06 0:00,,49.2819277221066,-123.134302994654,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,3b905ff360,8/1/06 0:00,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,5560a7cd42,8/1/06 0:00,6/1/17 0:00,49.2646240487729,-123.128939736704,NA,NA,NA,NA,NA,NA,NA,NA,NA
Member,c7523b8bd6,8/1/06 0:00,,49.242759397082,-123.187488791591,NA,NA,NA,NA,NA,NA,NA,NA,NA
